miner_cluster,country_based,Reference_based,country_operation,Reference_op,,Notes:
F2Pool,China,"https://cryptoslate.com/companies/f2pool/#:~:text=F2Pool%2C%20also%20known%20as%20DiscusFish,and%20is%20based%20in%20China.","USA, Europe, China",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,double-check for unknowns
Antpool,China,https://cryptoslate.com/companies/antpool/,"USA, Germany, China",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,double-check highlighted yellow
Braiins Pool,Czech Republic,https://changelly.com/blog/bitcoin-mining-pools/,"USA, Europe, Russia, Asia",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,double-check kano pool vs ckpool
Foundry USA,USA,"https://glossary.bitbo.io/mining-pool/#:~:text=Foundry%20USA%20is%20based%20in,30%25%20of%20all%20Bitcoin%20blocks.",Unknown,NA,,
ViaBTC,China,"https://glossary.bitbo.io/mining-pool/#:~:text=Foundry%20USA%20is%20based%20in,30%25%20of%20all%20Bitcoin%20blocks.",Unknown,NA,,
Cloverpool,China,https://unglueit-files.s3.amazonaws.com/ebf/237659281bef483ea29b4afa18e9f98c.pdf,"China, USA, Europe",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
GHash.IO,Netherlands,https://bitcoinwiki.org/wiki/ghash-io,Netherlands,https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
BitFury,Netherlands,https://bitfury.com/about,"Unclear, only stated as among four countries among USA, UK, Canada, Hong Kong, Norway, Georgia, Ukraine and Kazakhstan","https://bitfury.com/about#:~:text=Bitfury%20Group%20has%20headquarters%20in,cryptomining%20operations%20in%20four%20countries.",,
Binance Pool,China,https://changelly.com/blog/bitcoin-mining-pools/,Unknown,NA,,
BTCC,China,https://unglueit-files.s3.amazonaws.com/ebf/237659281bef483ea29b4afa18e9f98c.pdf,,,,
Poolin,China other,"https://glossary.bitbo.io/mining-pool/#:~:text=Foundry%20USA%20is%20based%20in,30%25%20of%20all%20Bitcoin%20blocks.",Global,https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
BTC.TOP,China other,https://www.researchgate.net/publication/359336601_The_evolution_of_mining_pools_and_miners'_behaviors_in_the_Bitcoin_blockchain#pf2,Unknown,NA,,
BW.COM,China other,https://medium.com/21st-century-economist/the-bitcoin-scaling-debate-1a6b466c53f,,,,
Eligius,Unknown,NA,USA,https://en.bitcoin.it/wiki/Comparison_of_mining_pools,"closed and replaced by OCEAN
https://ocean.xyz/about ",https://www.forbes.com/sites/digital-assets/2023/12/19/ocean-aims-to-further-bitcoin-mining-decentralisation-in-2024/
BitMinter,Unknown,NA,"USA, Canada, Europe",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
Bixin,China other,https://unglueit-files.s3.amazonaws.com/ebf/237659281bef483ea29b4afa18e9f98c.pdf,,,,
BitClub Network,USA,https://www.justice.gov/usao-nj/pr/nevada-man-admits-money-laundering-and-tax-offenses-related-bitclub-network-fraud-scheme,,,,
1THash,China other,https://www.researchgate.net/publication/359336601_The_evolution_of_mining_pools_and_miners'_behaviors_in_the_Bitcoin_blockchain#pf2,China,https://changelly.com/blog/bitcoin-mining-pools/,,
KnCMiner,Sweden,https://cointelegraph.com/news/knc-miner-slush-pool-bitfury-at-odds-over-block-size-increase,,,,
Mara Pool,USA,https://cointelegraph.com/news/marathon-digital-made-in-usa-bitcoin-blocks,,,,
SBI Crypto,Japan,"https://glossary.bitbo.io/mining-pool/#:~:text=Foundry%20USA%20is%20based%20in,30%25%20of%20all%20Bitcoin%20blocks.","USA, Europe, Asia",https://en.bitcoin.it/wiki/Comparison_of_mining_pools,,
DPOOL,Unknown,NA,,,,
1Hash,China other,https://www.businessinsider.com/bitcoin-pools-miners-ranked-2016-6#12-1hash--079-7,,,,
Telco 214,Unknown,NA,,,,
